BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
SNDX;IMOEX;13.02.2024;Индекс МосБиржи;Индекс МосБиржи;3254,6;3250,3;3259,69;3245,02;61252409707;0;0;2;5,76406E+12;RUB;1771049604;3;;13.02.2024;
SNDX;IMOEX;14.02.2024;Индекс МосБиржи;Индекс МосБиржи;3258,14;3261,52;3267,88;3251,76;61011261937;0;0;2;5,77032E+12;RUB;1771049604;3;;14.02.2024;
SNDX;IMOEX;15.02.2024;Индекс МосБиржи;Индекс МосБиржи;3265,63;3249,78;3265,83;3238,83;59605264673;0;0;2;5,7836E+12;RUB;1771049604;3;;15.02.2024;
SNDX;IMOEX;16.02.2024;Индекс МосБиржи;Индекс МосБиржи;3242,48;3269,84;3275,23;3236,42;75952339427;0;0;2;5,74258E+12;RUB;1771049604;3;;16.02.2024;
SNDX;IMOEX;19.02.2024;Индекс МосБиржи;Индекс МосБиржи;3244,56;3247,46;3253,02;3234,1;53050781620;0;0;2;5,74627E+12;RUB;1771049604;3;;19.02.2024;
SNDX;IMOEX;20.02.2024;Индекс МосБиржи;Индекс МосБиржи;3207,49;3236,85;3237,34;3206,07;64739998499;0;0;2;5,68062E+12;RUB;1771049604;3;;20.02.2024;
SNDX;IMOEX;21.02.2024;Индекс МосБиржи;Индекс МосБиржи;3139,5;3173,01;3185,8;3135,8;1,05014E+11;0;0;2;5,56021E+12;RUB;1771049604;3;;21.02.2024;
SNDX;IMOEX;22.02.2024;Индекс МосБиржи;Индекс МосБиржи;3142,3;3152,75;3166,86;3141,88;66954855491;0;0;2;5,56517E+12;RUB;1771049604;3;;22.02.2024;
SNDX;IMOEX;26.02.2024;Индекс МосБиржи;Индекс МосБиржи;3213,17;3186,06;3213,17;3186,06;69530002768;0;0;2;5,69069E+12;RUB;1771049604;3;;26.02.2024;
SNDX;IMOEX;27.02.2024;Индекс МосБиржи;Индекс МосБиржи;3208,99;3220,26;3224,52;3203,58;55160994985;0;0;2;5,67489E+12;RUB;1768432737;3;;27.02.2024;
SNDX;IMOEX;28.02.2024;Индекс МосБиржи;Индекс МосБиржи;3227,05;3215,53;3240,29;3213,36;61902884647;0;0;2;5,70682E+12;RUB;1768432737;3;;28.02.2024;
SNDX;IMOEX;29.02.2024;Индекс МосБиржи;Индекс МосБиржи;3256,8;3233,03;3258,14;3224,09;50717302607;0;0;2;5,75944E+12;RUB;1768432737;3;;29.02.2024;
SNDX;IMOEX;01.03.2024;Индекс МосБиржи;Индекс МосБиржи;3266,66;3259;3269,28;3249,69;59649504551;0;0;2;5,77688E+12;RUB;1768432737;3;;01.03.2024;
SNDX;IMOEX;04.03.2024;Индекс МосБиржи;Индекс МосБиржи;3296,75;3278,01;3298,63;3277,85;86678820263;0;0;2;5,83009E+12;RUB;1768432737;3;;04.03.2024;
SNDX;IMOEX;05.03.2024;Индекс МосБиржи;Индекс МосБиржи;3300,89;3305,79;3312,41;3283,59;66185929582;0;0;2;5,8374E+12;RUB;1768432737;3;;05.03.2024;
SNDX;IMOEX;06.03.2024;Индекс МосБиржи;Индекс МосБиржи;3310,58;3298,86;3318,14;3289,25;49425403550;0;0;2;5,85454E+12;RUB;1768432737;3;;06.03.2024;
SNDX;IMOEX;07.03.2024;Индекс МосБиржи;Индекс МосБиржи;3315,68;3309,31;3317,73;3303,93;42342887171;0;0;2;5,86356E+12;RUB;1768432737;3;;07.03.2024;
SNDX;IMOEX;11.03.2024;Индекс МосБиржи;Индекс МосБиржи;3320,31;3329,72;3340,37;3318,9;63702584994;0;0;2;5,87174E+12;RUB;1768432737;3;;11.03.2024;
SNDX;IMOEX;12.03.2024;Индекс МосБиржи;Индекс МосБиржи;3332,6;3320,18;3335,41;3304,49;54192454895;0;0;2;5,89347E+12;RUB;1768432737;3;;12.03.2024;
SNDX;IMOEX;13.03.2024;Индекс МосБиржи;Индекс МосБиржи;3320,68;3337,56;3343,56;3317,19;60223172467;0;0;2;5,87239E+12;RUB;1768432737;3;;13.03.2024;
SNDX;IMOEX;14.03.2024;Индекс МосБиржи;Индекс МосБиржи;3297;3314,66;3318,49;3287,86;69642224630;0;0;2;5,83052E+12;RUB;1768432737;3;;14.03.2024;
SNDX;IMOEX;15.03.2024;Индекс МосБиржи;Индекс МосБиржи;3300,07;3295,15;3313,42;3292,13;49159051514;0;0;2;5,83596E+12;RUB;1768432737;3;;15.03.2024;
SNDX;IMOEX;18.03.2024;Индекс МосБиржи;Индекс МосБиржи;3296,3;3305,67;3313,05;3292;87440343639;0;0;2;5,82929E+12;RUB;1768432737;3;;18.03.2024;
SNDX;IMOEX;19.03.2024;Индекс МосБиржи;Индекс МосБиржи;3264,97;3293,93;3303,52;3254,3;1,26001E+11;0;0;2;5,77387E+12;RUB;1768432737;3;;19.03.2024;
SNDX;IMOEX;20.03.2024;Индекс МосБиржи;Индекс МосБиржи;3267,1;3268,87;3286,72;3257,72;1,37291E+11;0;0;2;5,77765E+12;RUB;1768432737;3;;20.03.2024;
SNDX;IMOEX;21.03.2024;Индекс МосБиржи;Индекс МосБиржи;3286,69;3286,75;3297,46;3259,03;1,08017E+11;0;0;2;5,81229E+12;RUB;1768432737;3;;21.03.2024;
SNDX;IMOEX;22.03.2024;Индекс МосБиржи;Индекс МосБиржи;3273,49;3289,28;3299,19;3260,39;88262062537;0;0;2;5,77546E+12;RUB;1764312999;3;;22.03.2024;
SNDX;IMOEX;25.03.2024;Индекс МосБиржи;Индекс МосБиржи;3281,63;3251,24;3281,63;3234,95;71511600962;0;0;2;5,78982E+12;RUB;1764312999;3;;25.03.2024;
SNDX;IMOEX;26.03.2024;Индекс МосБиржи;Индекс МосБиржи;3285,54;3286,2;3291;3275,8;59783293439;0;0;2;5,79671E+12;RUB;1764312999;3;;26.03.2024;
SNDX;IMOEX;27.03.2024;Индекс МосБиржи;Индекс МосБиржи;3304,09;3291,7;3304,09;3280,03;51422673944;0;0;2;5,82944E+12;RUB;1764312999;3;;27.03.2024;
SNDX;IMOEX;28.03.2024;Индекс МосБиржи;Индекс МосБиржи;3312,77;3308,26;3313,59;3301,52;61649303455;0;0;2;5,84477E+12;RUB;1764312999;3;;28.03.2024;
SNDX;IMOEX;29.03.2024;Индекс МосБиржи;Индекс МосБиржи;3332,53;3313,17;3332,53;3305,22;59294620380;0;0;2;5,87963E+12;RUB;1764312999;3;;29.03.2024;
SNDX;IMOEX;01.04.2024;Индекс МосБиржи;Индекс МосБиржи;3363,29;3343,66;3367,34;3343,66;1,01013E+11;0;0;2;5,9339E+12;RUB;1764312999;3;;01.04.2024;
SNDX;IMOEX;02.04.2024;Индекс МосБиржи;Индекс МосБиржи;3371,29;3369,32;3375,69;3357,55;80210555236;0;0;2;5,94802E+12;RUB;1764312999;3;;02.04.2024;
SNDX;IMOEX;03.04.2024;Индекс МосБиржи;Индекс МосБиржи;3395,59;3381,95;3397,33;3376,63;86023975807;0;0;2;5,99089E+12;RUB;1764312999;3;;03.04.2024;
SNDX;IMOEX;04.04.2024;Индекс МосБиржи;Индекс МосБиржи;3407,57;3399,81;3409,62;3392,06;80827897829;0;0;2;6,01201E+12;RUB;1764312999;3;;04.04.2024;
SNDX;IMOEX;05.04.2024;Индекс МосБиржи;Индекс МосБиржи;3395,37;3393,2;3401,16;3385,42;59263336534;0;0;2;5,9905E+12;RUB;1764312999;3;;05.04.2024;
SNDX;IMOEX;08.04.2024;Индекс МосБиржи;Индекс МосБиржи;3417,38;3400,82;3423,35;3400,82;72360399146;0;0;2;6,02933E+12;RUB;1764312999;3;;08.04.2024;
SNDX;IMOEX;09.04.2024;Индекс МосБиржи;Индекс МосБиржи;3414,26;3423,41;3441,18;3408,99;84388299087;0;0;2;6,02382E+12;RUB;1764312999;3;;09.04.2024;
SNDX;IMOEX;10.04.2024;Индекс МосБиржи;Индекс МосБиржи;3439,11;3424,75;3440,03;3405,46;68204100240;0;0;2;6,06766E+12;RUB;1764312999;3;;10.04.2024;
SNDX;IMOEX;11.04.2024;Индекс МосБиржи;Индекс МосБиржи;3439,53;3442,84;3455,61;3431,18;53525607759;0;0;2;6,06841E+12;RUB;1764312999;3;;11.04.2024;
SNDX;IMOEX;12.04.2024;Индекс МосБиржи;Индекс МосБиржи;3456,24;3448,6;3464;3446,79;63944927460;0;0;2;6,09789E+12;RUB;1764312999;3;;12.04.2024;
SNDX;IMOEX;15.04.2024;Индекс МосБиржи;Индекс МосБиржи;3472,19;3456,38;3476,98;3454,06;74215544276;0;0;2;6,12603E+12;RUB;1764312999;3;;15.04.2024;
SNDX;IMOEX;16.04.2024;Индекс МосБиржи;Индекс МосБиржи;3462,94;3478,02;3479,04;3459,45;66353162008;0;0;2;6,10972E+12;RUB;1764312999;3;;16.04.2024;
SNDX;IMOEX;17.04.2024;Индекс МосБиржи;Индекс МосБиржи;3454,07;3469,57;3476,72;3443,07;67369551424;0;0;2;6,09406E+12;RUB;1764312999;3;;17.04.2024;
SNDX;IMOEX;18.04.2024;Индекс МосБиржи;Индекс МосБиржи;3455,82;3451,37;3457,46;3436,95;56908603958;0;0;2;6,09715E+12;RUB;1764312999;3;;18.04.2024;
SNDX;IMOEX;19.04.2024;Индекс МосБиржи;Индекс МосБиржи;3470,88;3458,86;3475,13;3451,48;54079516424;0;0;2;6,12372E+12;RUB;1764312999;3;;19.04.2024;
SNDX;IMOEX;22.04.2024;Индекс МосБиржи;Индекс МосБиржи;3479,17;3468,09;3480,21;3460,58;82859286927;0;0;2;6,13835E+12;RUB;1764312999;3;;22.04.2024;
SNDX;IMOEX;23.04.2024;Индекс МосБиржи;Индекс МосБиржи;3439,42;3483,26;3487,55;3436,83;97852906260;0;0;2;6,06821E+12;RUB;1764312999;3;;23.04.2024;
SNDX;IMOEX;24.04.2024;Индекс МосБиржи;Индекс МосБиржи;3428,93;3438,45;3445,67;3423,17;59540956724;0;0;2;6,04971E+12;RUB;1764312999;3;;24.04.2024;
SNDX;IMOEX;25.04.2024;Индекс МосБиржи;Индекс МосБиржи;3439,76;3429,62;3443,74;3427,02;47461288356;0;0;2;6,06881E+12;RUB;1764312999;3;;25.04.2024;
SNDX;IMOEX;26.04.2024;Индекс МосБиржи;Индекс МосБиржи;3449,77;3446,39;3459,12;3438,06;52160044317;0;0;2;6,08647E+12;RUB;1764312999;3;;26.04.2024;
SNDX;IMOEX;27.04.2024;Индекс МосБиржи;Индекс МосБиржи;3465,85;3453,63;3467,23;3453,4;49604766720;0;0;2;6,11485E+12;RUB;1764312999;3;;27.04.2024;
SNDX;IMOEX;29.04.2024;Индекс МосБиржи;Индекс МосБиржи;3478,08;3468,92;3480,47;3467,25;31730535756;0;0;2;6,13642E+12;RUB;1764312999;3;;29.04.2024;
SNDX;IMOEX;30.04.2024;Индекс МосБиржи;Индекс МосБиржи;3469,83;3481,29;3486,3;3464,86;25464035843;0;0;2;6,12187E+12;RUB;1764312999;3;;30.04.2024;
SNDX;IMOEX;02.05.2024;Индекс МосБиржи;Индекс МосБиржи;3442,83;3470,87;3477,42;3439,58;56777352917;0;0;2;6,07422E+12;RUB;1764312999;3;;02.05.2024;
SNDX;IMOEX;03.05.2024;Индекс МосБиржи;Индекс МосБиржи;3441,77;3443,49;3450,43;3424,63;49713350093;0;0;2;6,07237E+12;RUB;1764312999;3;;03.05.2024;
SNDX;IMOEX;06.05.2024;Индекс МосБиржи;Индекс МосБиржи;3436,05;3441,7;3444,11;3418,47;68474003787;0;0;2;6,06227E+12;RUB;1764312999;3;;06.05.2024;
SNDX;IMOEX;07.05.2024;Индекс МосБиржи;Индекс МосБиржи;3427,61;3405,82;3428,37;3405,82;62217301713;0;0;2;6,04737E+12;RUB;1764312999;3;;07.05.2024;
SNDX;IMOEX;08.05.2024;Индекс МосБиржи;Индекс МосБиржи;3432,54;3431,84;3438,75;3430,1;50959000936;0;0;2;6,05608E+12;RUB;1764312999;3;;08.05.2024;
SNDX;IMOEX;10.05.2024;Индекс МосБиржи;Индекс МосБиржи;3449,78;3438,5;3452,33;3438,5;30875827114;0;0;2;6,08649E+12;RUB;1764312999;3;;10.05.2024;
